epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.259,1.22322,2.65585,1.64769,0.4847,0.42761,0.38763,0.19066,1.93293,2.44434,2.18865,0.000127799,0.000127799,0.000127799
2,280.795,1.19013,2.01657,1.57368,0.30443,0.40306,0.29301,0.12978,2.08754,2.92179,2.34742,0.000251061,0.000251061,0.000251061
3,416.706,1.20202,1.97066,1.58413,0.37402,0.42955,0.36668,0.16262,2.03397,2.53347,2.38384,0.00036924,0.00036924,0.00036924
4,552.949,1.18277,1.91354,1.5752,0.41465,0.45165,0.42726,0.20283,1.9715,2.04926,2.34076,0.000362131,0.000362131,0.000362131
5,693.117,1.16811,1.77574,1.55775,0.48213,0.44401,0.46412,0.23095,1.85493,2.04139,2.09173,0.000354508,0.000354508,0.000354508
6,833.675,1.13556,1.69389,1.53983,0.55595,0.55697,0.55525,0.27527,1.81017,1.87624,2.02302,0.000346885,0.000346885,0.000346885
7,969.549,1.11579,1.61545,1.52816,0.47256,0.5762,0.56693,0.27498,1.85744,1.69655,2.17823,0.000339262,0.000339262,0.000339262
8,1104.52,1.09328,1.53258,1.50114,0.48792,0.60421,0.55902,0.25418,1.95392,1.71009,2.3346,0.000331639,0.000331639,0.000331639
9,1239.69,1.08063,1.47149,1.48932,0.52544,0.62216,0.55077,0.26562,1.88352,1.62159,2.10798,0.000324016,0.000324016,0.000324016
10,1375.12,1.06692,1.4144,1.48132,0.5379,0.60198,0.59062,0.29992,1.81996,1.63608,2.06301,0.000316393,0.000316393,0.000316393
11,1514.95,1.03059,1.33908,1.45914,0.5584,0.64299,0.63062,0.32134,1.8216,1.50572,2.05396,0.00030877,0.00030877,0.00030877
12,1651.57,1.02043,1.29801,1.45313,0.57608,0.61299,0.62824,0.30653,1.84883,1.55079,2.15797,0.000301147,0.000301147,0.000301147
13,1786.74,1.01137,1.27397,1.43907,0.65094,0.57334,0.62444,0.31598,1.86211,1.54719,2.15663,0.000293524,0.000293524,0.000293524
14,1921.81,0.99632,1.23875,1.4265,0.64432,0.65535,0.66957,0.36245,1.68419,1.35079,1.93937,0.000285901,0.000285901,0.000285901
15,2056.31,0.99108,1.18628,1.41932,0.67143,0.63554,0.68622,0.33635,1.87935,1.45541,2.12248,0.000278278,0.000278278,0.000278278
16,2190.67,0.96966,1.16487,1.40728,0.63501,0.64168,0.64996,0.34102,1.74747,1.43086,2.00169,0.000270655,0.000270655,0.000270655
17,2324.9,0.96432,1.11522,1.39908,0.65337,0.67203,0.70367,0.40249,1.55313,1.3294,1.82101,0.000263032,0.000263032,0.000263032
18,2462.48,0.95828,1.07816,1.39547,0.62779,0.68768,0.70276,0.38519,1.62448,1.28171,1.91828,0.000255409,0.000255409,0.000255409
19,2597.12,0.94139,1.03266,1.37468,0.67935,0.66797,0.72307,0.39047,1.7082,1.33676,1.95657,0.000247786,0.000247786,0.000247786
20,2732.67,0.92102,0.99782,1.36132,0.6379,0.68071,0.69702,0.37672,1.71438,1.33893,2.0012,0.000240163,0.000240163,0.000240163
21,2867.55,0.91649,0.98718,1.37278,0.62545,0.65272,0.67604,0.38599,1.63244,1.31195,1.93404,0.00023254,0.00023254,0.00023254
22,3003.26,0.9111,0.97034,1.35708,0.61799,0.63274,0.65318,0.35389,1.72882,1.35964,2.08126,0.000224917,0.000224917,0.000224917
23,3138.16,0.89532,0.91429,1.34089,0.67368,0.64763,0.70831,0.36263,1.80972,1.27214,2.09485,0.000217294,0.000217294,0.000217294
24,3271.85,0.8791,0.9047,1.33483,0.64809,0.67609,0.70292,0.35633,1.86849,1.28407,2.22266,0.000209671,0.000209671,0.000209671
25,3405.91,0.8782,0.87915,1.33396,0.67229,0.70476,0.72864,0.40284,1.65392,1.24665,1.93881,0.000202048,0.000202048,0.000202048
26,3541.17,0.86895,0.86584,1.32217,0.69328,0.69223,0.73494,0.42683,1.5977,1.2474,1.88129,0.000194425,0.000194425,0.000194425
27,3681.99,0.8523,0.84032,1.30885,0.69483,0.62875,0.69546,0.3723,1.66904,1.36772,1.97674,0.000186802,0.000186802,0.000186802
28,3817.72,0.84211,0.83313,1.30902,0.6731,0.65546,0.69447,0.39504,1.62009,1.2823,1.9104,0.000179179,0.000179179,0.000179179
